Song Name , Artists , Album , Image_Info , Times Played
Promiscuous ," Nelly Furtado, Timbaland ", Loose  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2', 'width': 640} ",2
Go Down (feat. TisaKorean) ," Don Toliver, TisaKorean ", Love Sick (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640} ",2
Mary's Song (Oh My My My) , Taylor Swift , Taylor Swift  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c', 'width': 640} ",2
30 For 30 (with Kendrick Lamar) ," SZA, Kendrick Lamar ", SOS Deluxe: LANA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640} ",2
Noid ," Tyler, The Creator ", Noid  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dc620428d6bbc305cd43c19b', 'width': 640} ",2
gloria (with sza) ," Kendrick Lamar, SZA ", GNX  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640} ",2
Pyramids , Frank Ocean , channel ORANGE  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5', 'width': 640} ",2
She ," Tyler, The Creator, Frank Ocean ", Goblin  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27328ae9a159d24cb0ab2552712', 'width': 640} ",2
"After The Storm (feat. Tyler, The Creator & Bootsy Collins) "," Kali Uchis, Tyler, The Creator, Bootsy Collins ", Isolation  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053', 'width': 640} ",2
Drugs You Should Try It , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",2
GIMME GIMME (feat. 21 Savage) ," Katy Perry, 21 Savage ", 1432  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640} ",2
See You Again (feat. Kali Uchis) ," Tyler, The Creator, Kali Uchis ", Flower Boy  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3', 'width': 640} ",2
Until I Bleed Out , The Weeknd , After Hours (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640} ",2
"Ghungroo (From ""War"") "," Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar "," Ghungroo (From ""War"")  ","  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273281650a8e8c5d04658d31ac1', 'width': 640} ",2
Mamacita (feat. Rich Homie Quan & Young Thug) ," Travis Scott, Rich Homie Quan, Young Thug ", Mamacita (feat. Rich Homie Quan & Young Thug)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a53a4cb046216d7ac049b5bf', 'width': 640} ",2
"Deuces Remix (feat. Drake, T.I., Kanye West, Fabolous, Rick Ross & André 3000) "," Chris Brown, Drake, T.I., Kanye West, Fabolous, Rick Ross, André 3000 ", Deuces Remix  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734d89619547a31b9e2f11df75', 'width': 640} ",2
BOGUS , Don Toliver , Life of a DON  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640} ",2
High For This , The Weeknd , House Of Balloons (Original)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640} ",2
